cod,dy_valor_em_perc,valor_total_patri_liq,valor_patr_cota_valor_em_rs,cota,ultimo_rendimento_valor_em_rs,nome_fundo,pvp
VISC11,0.58,1700000000.0,119.14,100.55,0.58,Vinci Shopping Centers,0.8439650830955179
VIUR11,0.84,259670000.00000003,96.37,79.5,0.67,Vinci Imóveis Urbanos,0.8249455224654976
VLJS11,0.0,46350000.0,785.9,0.0,18.24,Vector Queluz Lajes Corporativas,0.0
VLOL11,0.48,173310000.0,97.1,97.56,0.47,Vila Olímpia Corporate,1.004737384140062
VOTS11,0.65,81570000.0,98.53,84.9,0.55,Votorantim Securities Master,0.8616664975134477
VPSI11,0.0,147840000.0,18.32,0.0,0.11,Polo Shopping Indaiatuba,0.0
VRTA11,1.01,982290000.0,98.23,108.7,1.1,Fator Verita,1.1065865825104346
VSEC11,0.44,6310000.0,100.59,89.99,0.4,Votorantim Securities,0.8946217317824833
VSHO11,0.9,213080000.0,101.52,84.36,0.76,Votorantim Shopping,0.8309692671394799
VSLH11,1.79,262779999.99999997,9.95,10.03,0.18,Versalhes Recebíveis Imobiliários,1.0080402010050251
VTLT11,0.8,216320000.0,102.28,94.14,0.75,Votorantim Logística,0.9204145482987877
VVPR11,0.74,238210000.0,103.31,94.9,0.7,V2 Properties,0.9185945213435293
VXXV11,1.29,27180000.0,522.67,833.5,10.76,VX XVI,1.5946964623950104
WPLZ11,0.23,105710000.0,103.56,66.0,0.15,Shopping West Plaza,0.6373117033603708
WTSP11B,0.7,79040000.0,79.63,50.7,0.35,Ourinvest RE I,0.6366947130478463
XPCI11,1.05,629370000.0,95.84,95.47,1.0,XP Crédito Imobiliário,0.9961393989983305
XPCM11,0.83,170380000.0,70.56,25.4,0.21,XP Corporate Macaé,0.3599773242630385
XPHT11,0.37,330680000.0,86.91,92.01,0.34,XP Hotéis,1.0586813945460822
XPIN11,0.69,735020000.0,111.59,91.85,0.63,XP Industrial,0.8231024285330226
XPLG11,0.61,2970000000.0,109.55,101.16,0.62,XP Log,0.9234139662254678
XPML11,0.58,1900000000.0,104.48,98.85,0.57,XP Malls FII,0.9461140888208268
XPPR11,0.82,618300000.0,84.51,67.47,0.55,XP PROPERTIES,0.7983670571529996
XPSF11,0.9,387640000.0,89.52,77.99,0.7,XP Selection Fundo de Fundos,0.8712019660411081
XTED11,4.77,26250000.0,13.56,6.78,0.32,TRX Edifícios Corporativos,0.5
YUFI11,0.0,37560000.0,95.06,0.0,0.43,Yuca,0.0
